accuracy,coeff,comb,dataset,accuracy,coeff,comb,dataset,accuracy,coeff,comb,dataset
0.675478927203065,coeff_a,"comb_1.0, 2.0, 1.0, 1.0, 2.0, 1.0",MELD,0.675095785440613,coeff_t,"comb_2.0, 1.0, 1.0, 1.0, 1.0, 1.0",MELD,0.675478927203065,coeff_v,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 2.0",MELD
0.675095785440613,coeff_a,"comb_1.0, 1.0, 1.0, 1.0, 2.0, 1.0",MELD,0.675095785440613,coeff_t,"comb_2.0, 1.0, 1.0, 0.5, 1.0, 1.0",MELD,0.675095785440613,coeff_v,"comb_1.0, 1.0, 1.5, 1.0, 1.0, 2.0",MELD
0.675095785440613,coeff_a,"comb_1.0, 0.5, 1.0, 1.0, 2.0, 1.0",MELD,0.675095785440613,coeff_t,"comb_1.5, 1.0, 1.0, 2.0, 1.0, 1.0",MELD,0.675095785440613,coeff_v,"comb_1.0, 1.0, 2.0, 1.0, 1.0, 0.5",MELD
0.675095785440613,coeff_a,"comb_1.0, 2.0, 1.0, 1.0, 1.5, 1.0",MELD,0.674712643678161,coeff_t,"comb_2.0, 1.0, 1.0, 1.5, 1.0, 1.0",MELD,0.674712643678161,coeff_v,"comb_1.0, 1.0, 0.5, 1.0, 1.0, 0.5",MELD
0.674712643678161,coeff_a,"comb_1.0, 1.0, 1.0, 1.0, 1.5, 1.0",MELD,0.674712643678161,coeff_t,"comb_1.5, 1.0, 1.0, 1.0, 1.0, 1.0",MELD,0.674712643678161,coeff_v,"comb_1.0, 1.0, 2.0, 1.0, 1.0, 2.0",MELD
0.674712643678161,coeff_a,"comb_1.0, 0.5, 1.0, 1.0, 1.5, 1.0",MELD,0.674712643678161,coeff_t,"comb_1.5, 1.0, 1.0, 0.5, 1.0, 1.0",MELD,0.674712643678161,coeff_v,"comb_1.0, 1.0, 2.0, 1.0, 1.0, 1.5",MELD
0.674712643678161,coeff_a,"comb_1.0, 1.5, 1.0, 1.0, 1.5, 1.0",MELD,0.674712643678161,coeff_t,"comb_1.5, 1.0, 1.0, 1.5, 1.0, 1.0",MELD,0.674712643678161,coeff_v,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.5",MELD
0.674712643678161,coeff_a,"comb_1.0, 0.5, 1.0, 1.0, 1.0, 1.0",MELD,0.674329501915709,coeff_t,"comb_1.0, 1.0, 1.0, 2.0, 1.0, 1.0",MELD,0.674329501915709,coeff_v,"comb_1.0, 1.0, 1.5, 1.0, 1.0, 1.0",MELD
0.674329501915709,coeff_a,"comb_1.0, 2.0, 1.0, 1.0, 1.0, 1.0",MELD,0.674329501915709,coeff_t,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.0",MELD,0.674329501915709,coeff_v,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.0",MELD
0.674329501915709,coeff_a,"comb_1.0, 0.5, 1.0, 1.0, 0.5, 1.0",MELD,0.673946360153257,coeff_t,"comb_1.0, 1.0, 1.0, 0.5, 1.0, 1.0",MELD,0.674329501915709,coeff_v,"comb_1.0, 1.0, 1.5, 1.0, 1.0, 1.5",MELD
0.674329501915709,coeff_a,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 1.0",MELD,0.673563218390805,coeff_t,"comb_1.0, 1.0, 1.0, 1.5, 1.0, 1.0",MELD,0.674329501915709,coeff_v,"comb_1.0, 1.0, 0.5, 1.0, 1.0, 1.0",MELD
0.673946360153257,coeff_a,"comb_1.0, 2.0, 1.0, 1.0, 0.5, 1.0",MELD,0.673563218390805,coeff_t,"comb_0.5, 1.0, 1.0, 1.5, 1.0, 1.0",MELD,0.674329501915709,coeff_v,"comb_1.0, 1.0, 0.5, 1.0, 1.0, 2.0",MELD
0.673946360153257,coeff_a,"comb_1.0, 1.5, 1.0, 1.0, 1.0, 1.0",MELD,0.673180076628352,coeff_t,"comb_0.5, 1.0, 1.0, 2.0, 1.0, 1.0",MELD,0.674329501915709,coeff_v,"comb_1.0, 1.0, 0.5, 1.0, 1.0, 1.5",MELD
0.673946360153257,coeff_a,"comb_1.0, 1.5, 1.0, 1.0, 0.5, 1.0",MELD,0.6727969348659,coeff_t,"comb_0.5, 1.0, 1.0, 0.5, 1.0, 1.0",MELD,0.673563218390805,coeff_v,"comb_1.0, 1.0, 1.0, 1.0, 1.0, 0.5",MELD
0.673563218390805,coeff_a,"comb_1.0, 1.0, 1.0, 1.0, 0.5, 1.0",MELD,0.6727969348659,coeff_t,"comb_0.5, 1.0, 1.0, 1.0, 1.0, 1.0",MELD,0.673563218390805,coeff_v,"comb_1.0, 1.0, 1.5, 1.0, 1.0, 0.5",MELD
