Metric,rate_t,rate_a,rate_v,ave_chan_t,ave_chan_a,ave_chan_v,velocity_t,velocity_a,velocity_v
0,0.3149291681801671,0.28369051943334544,0.40138031238648747,0.00013666666666666642,-0.00026333333333333303,0.0003466666666666669,0.0016358881043581977,3.297224641690883e-05,0.0004350918955055438
1,0.26605179141539553,0.2564739269244413,0.4774742816601632,-0.00020600000000000007,-0.00015999999999999988,0.000418,0.0003444441971475608,-0.00045198895291825766,0.0003328357003952113
2,0.23585951940850278,0.22661737523105363,0.5375231053604437,-0.000194,-0.00013200000000000004,0.00019199999999999995,-5.465465585062341e-05,0.00024919369868085827,0.0007599426840761673
3,0.20991379310344827,0.20172413793103447,0.5883620689655172,-0.00030000000000000014,-0.00030399999999999996,-0.00012399999999999965,-0.0006755924718907949,-0.00029947589726909843,-0.0007250024508411101
