Metric,rate_t,rate_a,rate_v,ave_chan_t,ave_chan_a,ave_chan_v,velocity_t,velocity_a,velocity_v
0,0.34904880066170385,0.3564929693961952,0.2944582299421009,-0.0001633333333333334,-0.00016666666666666682,2.9999999999999933e-05,0.00019471248919055096,0.0002993808659045512,2.898956077801413e-06
1,0.3313492063492064,0.35317460317460314,0.31547619047619047,-5.199999999999983e-05,3.199999999999981e-05,0.00017000000000000015,0.00013002505816804455,0.0003117629125754802,-0.00047503255151356357
2,0.3233483791546984,0.3249897414854329,0.3516618793598687,-4.400000000000015e-05,-6.599999999999995e-05,6.399999999999989e-05,0.0002099681068915392,0.00011204560540340207,-5.582457702116487e-05
3,0.30839834786599357,0.3148233134465351,0.3767783386874714,-0.00021800000000000015,-0.00025400000000000005,-9.999999999999982e-05,-0.0007382712374152101,-0.0004740091620358077,-0.0005635778744044059
