Metric,rate_t,rate_a,rate_v,ave_chan_t,ave_chan_a,ave_chan_v,velocity_t,velocity_a,velocity_v
0,0.2870100421120829,0.24003887269193394,0.47295108519598317,-0.000272,-0.000792,0.0008819999999999998,0.0019151744816254808,-0.0003663671469848487,0.0008887649486095859
1,0.22570532915360503,0.20626959247648904,0.568025078369906,-0.000282,-0.00022800000000000015,0.0006080000000000003,-5.651544838079152e-05,-0.0007147389011404085,0.00011084160317683788
2,0.18542829012143094,0.16672136527732195,0.6478503446012471,-0.00028800000000000006,-0.0001820000000000001,0.00021600000000000007,-0.00035642987948036165,-0.0001617539202867679,0.00046387755261494525
3,0.1581147852527556,0.137210186240973,0.7046750285062714,-0.00036600000000000006,-0.000282,-0.00016799999999999983,-0.0006341141081385464,-0.00031026256122850367,-0.0004208320811831543
