Metric,train_loss,train_acc,train_ce_loss,train_kl_loss,train_task_loss,val_loss,val_acc,val_ce_loss,val_kl_loss,val_task_loss,val_ce_loss_t,val_ce_loss_v,val_ce_loss_a,val_kl_loss_t,val_kl_loss_v,val_kl_loss_a,train_ce_loss_t,train_ce_loss_v,train_ce_loss_a,train_kl_loss_t,train_kl_loss_v,train_kl_loss_a,coeff,comb,dataset
199,0.528,99.47,0.3389,0.1685,0.0207,5.9228,70.49,3.8514,0.6756,1.3957,1.8709,1.1583,1.6444,0.2323,0.2974,0.5893,0.0604,0.2575,0.0419,0.0321,0.2268,0.0459,coeff_0p5,"comb_1.00,0.50,1.00,1.00,0.50,0.50",IEMO
199,2.4222,81.33,1.8675,0.0138,0.5409,3.7043,65.17,2.6376,0.0057,1.061,1.0746,1.0404,1.0453,0.0014,0.0046,0.0039,0.6,0.8512,0.8326,0.003,0.0113,0.0104,coeff_0p5,"comb_1.00,0.50,1.00,1.00,0.50,0.50",MELD
199,0.4054,99.66,0.1971,0.1915,0.0169,5.5603,71.84,3.2668,0.9321,1.3614,1.6812,1.1443,1.8541,0.3721,0.3056,0.4072,0.0625,0.2638,0.0339,0.0442,0.2378,0.0283,coeff_0p5,"comb_0.50,1.00,0.50,1.00,1.00,0.50",IEMO
199,2.111,81.42,1.5564,0.0183,0.5362,3.1713,65.36,2.1026,0.0074,1.0613,1.0681,1.047,1.0451,0.0016,0.0044,0.0036,0.6134,0.8606,0.8195,0.0032,0.0111,0.0095,coeff_0p5,"comb_0.50,1.00,0.50,1.00,1.00,0.50",MELD
199,0.4807,98.74,0.2167,0.2245,0.0394,4.7426,70.92,2.921,0.6607,1.1609,1.623,1.1527,1.4432,0.3914,0.2042,0.2607,0.0629,0.2541,0.0537,0.0608,0.1627,0.0314,coeff_0p5,"comb_1.00,0.50,0.50,0.50,1.00,1.00",IEMO
199,1.9982,81.61,1.4416,0.0214,0.5352,3.1851,65.25,2.1197,0.0084,1.057,1.0759,1.0426,1.0449,0.0017,0.0041,0.0034,0.5937,0.8626,0.8331,0.0031,0.0105,0.0094,coeff_0p5,"comb_1.00,0.50,0.50,0.50,1.00,1.00",MELD
199,0.4859,99.0,0.2111,0.2396,0.0352,4.733,71.29,2.8658,0.6973,1.17,1.4346,1.1838,1.5565,0.3921,0.2323,0.2689,0.0775,0.259,0.0428,0.061,0.1782,0.0309,coeff_0p5,"comb_0.50,1.00,0.50,0.50,1.00,1.00",IEMO
199,2.1149,81.37,1.5561,0.0211,0.5378,3.1688,65.4,2.1022,0.0083,1.0583,1.0669,1.0477,1.0449,0.0017,0.004,0.0034,0.6146,0.8599,0.8189,0.0033,0.0103,0.0091,coeff_0p5,"comb_0.50,1.00,0.50,0.50,1.00,1.00",MELD
199,0.3605,99.45,0.1775,0.1632,0.0197,4.2634,71.1,2.2836,0.6028,1.377,1.7204,1.1689,1.678,0.1928,0.2846,0.5353,0.0548,0.2609,0.0394,0.0312,0.2218,0.0422,coeff_0p5,"comb_0.50,0.50,0.50,1.00,0.50,0.50",IEMO
199,1.6863,81.96,1.1495,0.0152,0.5216,2.6633,65.21,1.5813,0.0064,1.0756,1.0727,1.0443,1.0456,0.0018,0.005,0.0043,0.6035,0.8627,0.8328,0.0034,0.0123,0.0112,coeff_0p5,"comb_0.50,0.50,0.50,1.00,0.50,0.50",MELD
199,0.4796,98.66,0.1985,0.2353,0.0458,3.7596,71.6,1.9513,0.7012,1.1072,1.3765,1.1633,1.3627,0.2121,0.1992,0.2898,0.0755,0.2602,0.0613,0.0408,0.1592,0.0354,coeff_0p5,"comb_0.50,0.50,0.50,1.00,1.00,1.00",IEMO
199,1.6973,81.82,1.1481,0.0236,0.5255,2.6546,65.25,1.581,0.0096,1.0641,1.0702,1.0452,1.0466,0.0017,0.0042,0.0036,0.6043,0.8605,0.8314,0.0033,0.0107,0.0097,coeff_0p5,"comb_0.50,0.50,0.50,1.00,1.00,1.00",MELD
199,0.5367,99.59,0.3352,0.1828,0.0188,6.0371,71.04,3.778,0.8933,1.3658,1.7832,1.1441,1.7014,0.3362,0.308,0.4032,0.0571,0.2571,0.042,0.0379,0.2286,0.0306,coeff_0p5,"comb_1.00,0.50,1.00,1.00,1.00,0.50",IEMO
199,2.4272,81.23,1.8666,0.0178,0.5427,3.7009,65.25,2.6383,0.0072,1.0555,1.0739,1.0409,1.047,0.0015,0.0043,0.0035,0.6005,0.8504,0.8316,0.0029,0.0107,0.0095,coeff_0p5,"comb_1.00,0.50,1.00,1.00,1.00,0.50",MELD
199,0.4816,98.67,0.2161,0.2258,0.0397,4.7555,70.55,2.9142,0.6288,1.2125,1.6052,1.1653,1.4526,0.1986,0.1951,0.4702,0.0615,0.2535,0.0557,0.0349,0.1637,0.0543,coeff_0p5,"comb_1.00,0.50,0.50,1.00,0.50,1.00",IEMO
199,1.9938,81.65,1.4413,0.019,0.5335,3.1877,65.36,2.1191,0.0078,1.0607,1.0764,1.0426,1.0429,0.0015,0.0044,0.0038,0.5931,0.8627,0.8336,0.003,0.0109,0.0101,coeff_0p5,"comb_1.00,0.50,0.50,1.00,0.50,1.00",MELD
199,0.4555,98.81,0.2032,0.2125,0.0398,4.5842,71.35,2.8806,0.5401,1.1634,1.4129,1.2135,1.5675,0.3028,0.1827,0.4121,0.0779,0.2542,0.0371,0.055,0.1588,0.0523,coeff_0p5,"comb_0.50,1.00,0.50,0.50,0.50,1.00",IEMO
199,2.1108,81.41,1.5573,0.0174,0.536,3.1716,65.29,2.1021,0.007,1.0626,1.0676,1.0484,1.0441,0.0017,0.0043,0.0037,0.6142,0.8608,0.8198,0.0034,0.0108,0.0098,coeff_0p5,"comb_0.50,1.00,0.50,0.50,0.50,1.00",MELD
199,0.5759,98.47,0.3183,0.2083,0.0493,4.1955,71.6,2.5311,0.5313,1.1331,1.3362,1.1798,1.3664,0.1629,0.1724,0.3919,0.0799,0.2486,0.0595,0.0369,0.1444,0.054,coeff_0p5,"comb_0.50,0.50,1.00,1.00,0.50,1.00",IEMO
199,2.1267,81.55,1.5721,0.0189,0.5357,3.1708,65.25,2.1008,0.0078,1.0621,1.0678,1.0435,1.0467,0.0016,0.0043,0.0038,0.6136,0.8496,0.8314,0.0032,0.0107,0.01,coeff_0p5,"comb_0.50,0.50,1.00,1.00,0.50,1.00",MELD
199,0.5792,98.69,0.3206,0.2131,0.0455,4.2515,71.04,2.5465,0.5837,1.1213,1.3553,1.171,1.3955,0.3262,0.1929,0.2277,0.0834,0.2501,0.0578,0.0601,0.152,0.031,coeff_0p5,"comb_0.50,0.50,1.00,0.50,1.00,1.00",IEMO
199,2.1313,81.49,1.5728,0.0212,0.5373,3.1685,65.29,2.1012,0.0084,1.059,1.0668,1.0436,1.0483,0.0018,0.0041,0.0034,0.6147,0.8501,0.8306,0.0034,0.0102,0.0093,coeff_0p5,"comb_0.50,0.50,1.00,0.50,1.00,1.00",MELD
199,0.5214,99.55,0.3456,0.1585,0.0173,5.6924,71.23,3.7945,0.5637,1.3341,1.8233,1.1295,1.6834,0.3821,0.2805,0.4648,0.0664,0.2591,0.0403,0.0492,0.2312,0.0366,coeff_0p5,"comb_1.00,0.50,1.00,0.50,0.50,0.50",IEMO
199,2.4217,81.26,1.8684,0.0124,0.5409,3.7048,65.13,2.6378,0.005,1.062,1.0743,1.0407,1.0455,0.0015,0.0046,0.0039,0.6005,0.8513,0.8332,0.0031,0.0114,0.0104,coeff_0p5,"comb_1.00,0.50,1.00,0.50,0.50,0.50",MELD
199,0.5604,99.66,0.3544,0.1905,0.0156,7.1049,71.41,4.7658,0.9285,1.4106,1.8261,1.1284,1.8113,0.3511,0.317,0.4188,0.0544,0.2599,0.0401,0.0396,0.2394,0.0311,coeff_0p5,"comb_1.00,1.00,1.00,1.00,1.00,0.50",IEMO
199,2.8427,81.11,2.2747,0.017,0.551,4.2152,65.48,3.1601,0.0067,1.0483,1.0718,1.0437,1.0447,0.0014,0.004,0.0034,0.6062,0.8495,0.819,0.0028,0.0104,0.009,coeff_0p5,"comb_1.00,1.00,1.00,1.00,1.00,0.50",MELD
199,0.3675,99.74,0.199,0.1545,0.014,5.1925,71.23,3.2687,0.5728,1.351,1.8345,1.144,1.7244,0.3851,0.2978,0.4628,0.0536,0.2579,0.0329,0.044,0.2327,0.0323,coeff_0p5,"comb_1.00,0.50,0.50,0.50,0.50,0.50",IEMO
199,1.9873,81.76,1.4428,0.013,0.5315,3.1935,65.33,2.1198,0.0053,1.0684,1.0773,1.0414,1.0437,0.0016,0.0048,0.0041,0.5933,0.8642,0.8347,0.0032,0.012,0.0108,coeff_0p5,"comb_1.00,0.50,0.50,0.50,0.50,0.50",MELD
199,0.4256,99.62,0.2215,0.1888,0.0153,6.6286,71.53,4.2474,0.9476,1.4336,1.8701,1.086,1.8343,0.3671,0.3108,0.4251,0.0552,0.2647,0.0339,0.038,0.2432,0.0291,coeff_0p5,"comb_1.00,1.00,0.50,1.00,1.00,0.50",IEMO
199,2.412,81.33,1.8512,0.0176,0.5432,3.7007,65.48,2.6397,0.007,1.0539,1.0742,1.0443,1.0434,0.0014,0.0042,0.0035,0.6005,0.8613,0.82,0.0029,0.0108,0.0093,coeff_0p5,"comb_1.00,1.00,0.50,1.00,1.00,0.50",MELD
199,0.4586,98.71,0.2122,0.2063,0.0401,4.6222,70.92,2.9178,0.5367,1.1677,1.5815,1.2484,1.4241,0.3141,0.1792,0.4009,0.061,0.2517,0.0506,0.0556,0.1547,0.0477,coeff_0p5,"comb_1.00,0.50,0.50,0.50,0.50,1.00",IEMO
199,1.9936,81.63,1.4424,0.0176,0.5336,3.1883,65.4,2.1192,0.0071,1.062,1.0764,1.0429,1.0429,0.0016,0.0044,0.0038,0.5936,0.8632,0.8344,0.0031,0.011,0.0101,coeff_0p5,"comb_1.00,0.50,0.50,0.50,0.50,1.00",MELD
