accuracy,coeff,comb,dataset
0.675095785440613,coeff_2,"comb_1.00,2.00,1.00,1.00,1.00,2.00",MELD
0.674712643678161,coeff_2,"comb_1.00,1.00,2.00,2.00,1.00,2.00",MELD
0.674712643678161,coeff_2,"comb_1.00,1.00,2.00,1.00,2.00,1.00",MELD
0.6758620689655173,coeff_2,"comb_2.00,2.00,2.00,2.00,1.00,2.00",MELD
0.674712643678161,coeff_2,"comb_2.00,1.00,1.00,2.00,1.00,2.00",MELD
0.674712643678161,coeff_2,"comb_2.00,1.00,1.00,1.00,2.00,2.00",MELD
0.6754789272030651,coeff_2,"comb_2.00,1.00,2.00,1.00,1.00,1.00",MELD
0.6762452107279694,coeff_2,"comb_1.00,2.00,2.00,1.00,2.00,2.00",MELD
0.6758620689655173,coeff_2,"comb_1.00,2.00,2.00,1.00,1.00,2.00",MELD
0.6754789272030651,coeff_2,"comb_2.00,2.00,1.00,2.00,2.00,2.00",MELD
0.674712643678161,coeff_2,"comb_1.00,2.00,1.00,1.00,1.00,1.00",MELD
0.674712643678161,coeff_2,"comb_1.00,2.00,1.00,1.00,2.00,2.00",MELD
0.6762452107279694,coeff_2,"comb_2.00,2.00,2.00,2.00,2.00,1.00",MELD
0.675095785440613,coeff_2,"comb_1.00,1.00,1.00,2.00,2.00,1.00",MELD
0.6758620689655173,coeff_2,"comb_2.00,2.00,1.00,1.00,1.00,2.00",MELD
0.675095785440613,coeff_2,"comb_2.00,2.00,1.00,1.00,1.00,1.00",MELD
0.675095785440613,coeff_2,"comb_1.00,1.00,2.00,1.00,1.00,2.00",MELD
0.675095785440613,coeff_2,"comb_1.00,1.00,1.00,2.00,1.00,2.00",MELD
0.6739463601532567,coeff_2,"comb_1.00,1.00,1.00,2.00,1.00,1.00",MELD
0.6766283524904214,coeff_2,"comb_1.00,2.00,2.00,2.00,1.00,2.00",MELD
0.6754789272030651,coeff_2,"comb_1.00,2.00,1.00,2.00,1.00,2.00",MELD
0.6754789272030651,coeff_2,"comb_1.00,1.00,2.00,1.00,1.00,1.00",MELD
0.6735632183908046,coeff_2,"comb_1.00,1.00,1.00,1.00,2.00,2.00",MELD
0.6766283524904214,coeff_2,"comb_1.00,2.00,2.00,2.00,2.00,1.00",MELD
0.674712643678161,coeff_2,"comb_2.00,1.00,2.00,2.00,2.00,1.00",MELD
0.6758620689655173,coeff_2,"comb_1.00,2.00,2.00,1.00,2.00,1.00",MELD
0.6758620689655173,coeff_2,"comb_2.00,2.00,2.00,1.00,2.00,1.00",MELD
0.674712643678161,coeff_2,"comb_1.00,1.00,2.00,1.00,2.00,2.00",MELD
0.674712643678161,coeff_2,"comb_2.00,1.00,2.00,1.00,1.00,2.00",MELD
0.675095785440613,coeff_2,"comb_1.00,1.00,2.00,2.00,2.00,1.00",MELD
0.6743295019157088,coeff_2,"comb_2.00,1.00,1.00,2.00,2.00,1.00",MELD
0.674712643678161,coeff_2,"comb_1.00,2.00,1.00,2.00,2.00,2.00",MELD
0.6743295019157088,coeff_2,"comb_2.00,1.00,1.00,1.00,1.00,2.00",MELD
0.674712643678161,coeff_2,"comb_2.00,2.00,1.00,1.00,2.00,1.00",MELD
0.675095785440613,coeff_2,"comb_2.00,1.00,2.00,2.00,2.00,2.00",MELD
0.6762452107279694,coeff_2,"comb_1.00,2.00,2.00,2.00,1.00,1.00",MELD
0.6754789272030651,coeff_2,"comb_2.00,2.00,1.00,1.00,2.00,2.00",MELD
0.6754789272030651,coeff_2,"comb_2.00,2.00,2.00,1.00,1.00,1.00",MELD
0.675095785440613,coeff_2,"comb_1.00,1.00,2.00,2.00,1.00,1.00",MELD
0.6743295019157088,coeff_2,"comb_2.00,1.00,1.00,1.00,2.00,1.00",MELD
0.675095785440613,coeff_2,"comb_2.00,2.00,2.00,1.00,2.00,2.00",MELD
0.6758620689655173,coeff_2,"comb_2.00,2.00,2.00,2.00,1.00,1.00",MELD
0.675095785440613,coeff_2,"comb_2.00,1.00,1.00,2.00,2.00,2.00",MELD
0.6743295019157088,coeff_2,"comb_1.00,2.00,1.00,2.00,1.00,1.00",MELD
0.674712643678161,coeff_2,"comb_2.00,1.00,2.00,2.00,1.00,2.00",MELD
