character,center_emotion,position,context_emotion,count,ratio
Ross,fear,next,fear,0,0.0
Ross,fear,prev,sadness,0,0.0
Ross,fear,next,sadness,0,0.0
Ross,fear,prev,joy,0,0.0
Ross,fear,next,joy,0,0.0
Ross,fear,prev,disgust,0,0.0
Ross,fear,next,disgust,0,0.0
Ross,fear,prev,anger,0,0.0
Ross,fear,next,anger,0,0.0
Ross,sadness,prev,neutral,0,0.0
Ross,sadness,next,neutral,2,0.25
Ross,sadness,prev,surprise,0,0.0
Ross,sadness,next,surprise,1,0.125
Ross,sadness,prev,fear,0,0.0
Ross,sadness,next,fear,0,0.0
Ross,sadness,prev,sadness,2,0.5
Ross,sadness,next,sadness,2,0.25
Ross,sadness,prev,joy,1,0.25
Ross,sadness,next,joy,2,0.25
Ross,sadness,prev,disgust,0,0.0
Ross,sadness,next,disgust,0,0.0
Ross,sadness,prev,anger,1,0.25
Ross,sadness,next,anger,1,0.125
Ross,joy,prev,neutral,3,0.42857142857142855
Ross,joy,next,neutral,3,0.375
Ross,joy,prev,surprise,0,0.0
Ross,joy,next,surprise,1,0.125
Ross,joy,prev,fear,0,0.0
Ross,joy,next,fear,0,0.0
Ross,joy,prev,sadness,2,0.2857142857142857
Ross,joy,next,sadness,1,0.125
Ross,joy,prev,joy,2,0.2857142857142857
Ross,joy,next,joy,2,0.25
Ross,joy,prev,disgust,0,0.0
Ross,joy,next,disgust,0,0.0
Ross,joy,prev,anger,0,0.0
Ross,joy,next,anger,1,0.125
Ross,disgust,prev,neutral,0,0.0
Ross,disgust,next,neutral,2,0.6666666666666666
Ross,disgust,prev,surprise,0,0.0
Ross,disgust,next,surprise,1,0.3333333333333333
Ross,disgust,prev,fear,0,0.0
Ross,disgust,next,fear,0,0.0
Ross,disgust,prev,sadness,0,0.0
Ross,disgust,next,sadness,0,0.0
Ross,disgust,prev,joy,0,0.0
Ross,disgust,next,joy,0,0.0
Ross,disgust,prev,disgust,0,0.0
Ross,disgust,next,disgust,0,0.0
Ross,disgust,prev,anger,0,0.0
Ross,disgust,next,anger,0,0.0
Ross,anger,prev,neutral,2,0.3333333333333333
Ross,anger,next,neutral,2,0.3333333333333333
Ross,anger,prev,surprise,0,0.0
Ross,anger,next,surprise,0,0.0
Ross,anger,prev,fear,0,0.0
Ross,anger,next,fear,0,0.0
Ross,anger,prev,sadness,0,0.0
Ross,anger,next,sadness,0,0.0
Ross,anger,prev,joy,1,0.16666666666666666
Ross,anger,next,joy,0,0.0
Ross,anger,prev,disgust,0,0.0
Ross,anger,next,disgust,0,0.0
Ross,anger,prev,anger,3,0.5
Ross,anger,next,anger,4,0.6666666666666666
Phoebe,neutral,prev,neutral,4,0.8
Phoebe,neutral,next,neutral,3,0.75
Phoebe,neutral,prev,surprise,0,0.0
Phoebe,neutral,next,surprise,0,0.0
Phoebe,neutral,prev,fear,0,0.0
Phoebe,neutral,next,fear,0,0.0
Phoebe,neutral,prev,sadness,1,0.2
Phoebe,neutral,next,sadness,0,0.0
Phoebe,neutral,prev,joy,0,0.0
Phoebe,neutral,next,joy,1,0.25
Phoebe,neutral,prev,disgust,0,0.0
Phoebe,neutral,next,disgust,0,0.0
Phoebe,neutral,prev,anger,0,0.0
Phoebe,neutral,next,anger,0,0.0
Phoebe,surprise,prev,neutral,1,0.5
Phoebe,surprise,next,neutral,0,0.0
Phoebe,surprise,prev,surprise,1,0.5
Phoebe,surprise,next,surprise,1,0.5
Phoebe,surprise,prev,fear,0,0.0
Phoebe,surprise,next,fear,0,0.0
Phoebe,surprise,prev,sadness,0,0.0
Phoebe,surprise,next,sadness,0,0.0
Phoebe,surprise,prev,joy,0,0.0
Phoebe,surprise,next,joy,1,0.5
Phoebe,surprise,prev,disgust,0,0.0
Phoebe,surprise,next,disgust,0,0.0
Phoebe,surprise,prev,anger,0,0.0
Phoebe,surprise,next,anger,0,0.0
Phoebe,fear,prev,neutral,2,0.4
Phoebe,fear,next,neutral,2,0.4
Phoebe,fear,prev,surprise,0,0.0
Phoebe,fear,next,surprise,0,0.0
Phoebe,fear,prev,fear,2,0.4
Phoebe,fear,next,fear,2,0.4
Phoebe,fear,prev,sadness,0,0.0
Phoebe,fear,next,sadness,1,0.2
Phoebe,fear,prev,joy,0,0.0
Phoebe,fear,next,joy,0,0.0
Phoebe,fear,prev,disgust,0,0.0
Phoebe,fear,next,disgust,0,0.0
Phoebe,fear,prev,anger,1,0.2
Phoebe,fear,next,anger,0,0.0
Phoebe,sadness,prev,neutral,0,0.0
Phoebe,sadness,next,neutral,3,0.5
Phoebe,sadness,prev,surprise,1,0.25
Phoebe,sadness,next,surprise,0,0.0
Phoebe,sadness,prev,fear,1,0.25
Phoebe,sadness,next,fear,0,0.0
Phoebe,sadness,prev,sadness,1,0.25
Phoebe,sadness,next,sadness,1,0.16666666666666666
Phoebe,sadness,prev,joy,0,0.0
Phoebe,sadness,next,joy,0,0.0
Phoebe,sadness,prev,disgust,0,0.0
Phoebe,sadness,next,disgust,0,0.0
Phoebe,sadness,prev,anger,1,0.25
Phoebe,sadness,next,anger,2,0.3333333333333333
Phoebe,joy,prev,neutral,3,0.6
Phoebe,joy,next,neutral,1,0.25
Phoebe,joy,prev,surprise,1,0.2
Phoebe,joy,next,surprise,1,0.25
Phoebe,joy,prev,fear,0,0.0
Phoebe,joy,next,fear,0,0.0
Phoebe,joy,prev,sadness,0,0.0
Phoebe,joy,next,sadness,0,0.0
Phoebe,joy,prev,joy,1,0.2
Phoebe,joy,next,joy,1,0.25
Phoebe,joy,prev,disgust,0,0.0
Phoebe,joy,next,disgust,0,0.0
Phoebe,joy,prev,anger,0,0.0
Phoebe,joy,next,anger,1,0.25
Phoebe,disgust,prev,neutral,0,0.0
Phoebe,disgust,next,neutral,0,0.0
Phoebe,disgust,prev,surprise,0,0.0
Phoebe,disgust,next,surprise,0,0.0
Phoebe,disgust,prev,fear,0,0.0
Phoebe,disgust,next,fear,0,0.0
Phoebe,disgust,prev,sadness,0,0.0
Phoebe,disgust,next,sadness,0,0.0
Phoebe,disgust,prev,joy,0,0.0
Phoebe,disgust,next,joy,0,0.0
Phoebe,disgust,prev,disgust,1,1.0
Phoebe,disgust,next,disgust,2,1.0
Phoebe,disgust,prev,anger,0,0.0
Phoebe,disgust,next,anger,0,0.0
Phoebe,anger,prev,neutral,0,0.0
Phoebe,anger,next,neutral,1,0.3333333333333333
Phoebe,anger,prev,surprise,0,0.0
Phoebe,anger,next,surprise,0,0.0
Phoebe,anger,prev,fear,0,0.0
Phoebe,anger,next,fear,1,0.3333333333333333
Phoebe,anger,prev,sadness,1,0.2
Phoebe,anger,next,sadness,1,0.3333333333333333
Phoebe,anger,prev,joy,1,0.2
Phoebe,anger,next,joy,0,0.0
Phoebe,anger,prev,disgust,1,0.2
Phoebe,anger,next,disgust,0,0.0
Phoebe,anger,prev,anger,2,0.4
Phoebe,anger,next,anger,0,0.0
Monica,neutral,prev,neutral,3,1.0
Monica,neutral,next,neutral,1,0.3333333333333333
Monica,neutral,prev,surprise,0,0.0
Monica,neutral,next,surprise,0,0.0
Monica,neutral,prev,fear,0,0.0
Monica,neutral,next,fear,0,0.0
Monica,neutral,prev,sadness,0,0.0
Monica,neutral,next,sadness,0,0.0
Monica,neutral,prev,joy,0,0.0
Monica,neutral,next,joy,0,0.0
Monica,neutral,prev,disgust,0,0.0
Monica,neutral,next,disgust,1,0.3333333333333333
Monica,neutral,prev,anger,0,0.0
Monica,neutral,next,anger,1,0.3333333333333333
Monica,surprise,prev,neutral,0,0.0
Monica,surprise,next,neutral,1,0.25
Monica,surprise,prev,surprise,1,0.5
Monica,surprise,next,surprise,1,0.25
Monica,surprise,prev,fear,0,0.0
Monica,surprise,next,fear,0,0.0
Monica,surprise,prev,sadness,0,0.0
Monica,surprise,next,sadness,1,0.25
Monica,surprise,prev,joy,0,0.0
Monica,surprise,next,joy,0,0.0
Monica,surprise,prev,disgust,0,0.0
Monica,surprise,next,disgust,0,0.0
Monica,surprise,prev,anger,1,0.5
Monica,surprise,next,anger,1,0.25
Monica,fear,prev,neutral,0,0.0
Monica,fear,next,neutral,0,0.0
Monica,fear,prev,surprise,0,0.0
Monica,fear,next,surprise,0,0.0
Monica,fear,prev,fear,0,0.0
Monica,fear,next,fear,0,0.0
Monica,fear,prev,sadness,0,0.0
Monica,fear,next,sadness,0,0.0
Monica,fear,prev,joy,0,0.0
Monica,fear,next,joy,0,0.0
Monica,fear,prev,disgust,0,0.0
Monica,fear,next,disgust,0,0.0
Monica,fear,prev,anger,0,0.0
Monica,fear,next,anger,0,0.0
Monica,sadness,prev,neutral,0,0.0
Monica,sadness,next,neutral,1,0.16666666666666666
Monica,sadness,prev,surprise,0,0.0
Monica,sadness,next,surprise,0,0.0
Monica,sadness,prev,fear,0,0.0
Monica,sadness,next,fear,0,0.0
Monica,sadness,prev,sadness,3,0.6
Monica,sadness,next,sadness,4,0.6666666666666666
Monica,sadness,prev,joy,1,0.2
Monica,sadness,next,joy,1,0.16666666666666666
Monica,sadness,prev,disgust,0,0.0
Monica,sadness,next,disgust,0,0.0
Monica,sadness,prev,anger,1,0.2
Monica,sadness,next,anger,0,0.0
Monica,joy,prev,neutral,1,0.16666666666666666
Monica,joy,next,neutral,4,0.6666666666666666
Monica,joy,prev,surprise,1,0.16666666666666666
Monica,joy,next,surprise,0,0.0
Monica,joy,prev,fear,0,0.0
Monica,joy,next,fear,1,0.16666666666666666
Monica,joy,prev,sadness,1,0.16666666666666666
Monica,joy,next,sadness,1,0.16666666666666666
Monica,joy,prev,joy,3,0.5
Monica,joy,next,joy,0,0.0
Monica,joy,prev,disgust,0,0.0
Monica,joy,next,disgust,0,0.0
Monica,joy,prev,anger,0,0.0
Monica,joy,next,anger,0,0.0
Monica,disgust,prev,neutral,1,0.3333333333333333
Monica,disgust,next,neutral,0,0.0
Monica,disgust,prev,surprise,0,0.0
Monica,disgust,next,surprise,1,0.25
Monica,disgust,prev,fear,0,0.0
Monica,disgust,next,fear,0,0.0
Monica,disgust,prev,sadness,0,0.0
Monica,disgust,next,sadness,0,0.0
Monica,disgust,prev,joy,1,0.3333333333333333
Monica,disgust,next,joy,0,0.0
Monica,disgust,prev,disgust,1,0.3333333333333333
Monica,disgust,next,disgust,1,0.25
Monica,disgust,prev,anger,0,0.0
Monica,disgust,next,anger,2,0.5
Monica,anger,prev,neutral,2,0.11764705882352941
Monica,anger,next,neutral,2,0.14285714285714285
Monica,anger,prev,surprise,0,0.0
Monica,anger,next,surprise,0,0.0
Monica,anger,prev,fear,0,0.0
Monica,anger,next,fear,0,0.0
Monica,anger,prev,sadness,0,0.0
Monica,anger,next,sadness,0,0.0
Monica,anger,prev,joy,0,0.0
Monica,anger,next,joy,0,0.0
Monica,anger,prev,disgust,1,0.058823529411764705
Monica,anger,next,disgust,0,0.0
Monica,anger,prev,anger,14,0.8235294117647058
Monica,anger,next,anger,12,0.8571428571428571
Joey,neutral,prev,neutral,7,1.0
Joey,neutral,next,neutral,5,0.7142857142857143
Joey,neutral,prev,surprise,0,0.0
Joey,neutral,next,surprise,0,0.0
Joey,neutral,prev,fear,0,0.0
Joey,neutral,next,fear,1,0.14285714285714285
Joey,neutral,prev,sadness,0,0.0
Joey,neutral,next,sadness,0,0.0
Joey,neutral,prev,joy,0,0.0
Joey,neutral,next,joy,1,0.14285714285714285
Joey,neutral,prev,disgust,0,0.0
Joey,neutral,next,disgust,0,0.0
Joey,neutral,prev,anger,0,0.0
Joey,neutral,next,anger,0,0.0
Joey,surprise,prev,neutral,1,0.5
Joey,surprise,next,neutral,2,0.4
Joey,surprise,prev,surprise,1,0.5
Joey,surprise,next,surprise,0,0.0
Joey,surprise,prev,fear,0,0.0
Joey,surprise,next,fear,0,0.0
Joey,surprise,prev,sadness,0,0.0
Joey,surprise,next,sadness,0,0.0
Joey,surprise,prev,joy,0,0.0
Joey,surprise,next,joy,0,0.0
Joey,surprise,prev,disgust,0,0.0
Joey,surprise,next,disgust,0,0.0
Joey,surprise,prev,anger,0,0.0
Joey,surprise,next,anger,3,0.6
Joey,fear,prev,neutral,2,0.6666666666666666
Joey,fear,next,neutral,2,1.0
Joey,fear,prev,surprise,0,0.0
Joey,fear,next,surprise,0,0.0
Joey,fear,prev,fear,0,0.0
Joey,fear,next,fear,0,0.0
Joey,fear,prev,sadness,0,0.0
Joey,fear,next,sadness,0,0.0
Joey,fear,prev,joy,1,0.3333333333333333
Joey,fear,next,joy,0,0.0
Joey,fear,prev,disgust,0,0.0
Joey,fear,next,disgust,0,0.0
Joey,fear,prev,anger,0,0.0
Joey,fear,next,anger,0,0.0
Joey,sadness,prev,neutral,1,0.2
Joey,sadness,next,neutral,3,0.42857142857142855
Joey,sadness,prev,surprise,0,0.0
Joey,sadness,next,surprise,0,0.0
Joey,sadness,prev,fear,0,0.0
Joey,sadness,next,fear,0,0.0
Joey,sadness,prev,sadness,2,0.4
Joey,sadness,next,sadness,2,0.2857142857142857
Joey,sadness,prev,joy,0,0.0
Joey,sadness,next,joy,2,0.2857142857142857
Joey,sadness,prev,disgust,0,0.0
Joey,sadness,next,disgust,0,0.0
Joey,sadness,prev,anger,2,0.4
Joey,sadness,next,anger,0,0.0
Joey,joy,prev,neutral,2,0.2222222222222222
Joey,joy,next,neutral,1,0.125
Joey,joy,prev,surprise,0,0.0
Joey,joy,next,surprise,0,0.0
Joey,joy,prev,fear,0,0.0
Joey,joy,next,fear,0,0.0
Joey,joy,prev,sadness,1,0.1111111111111111
Joey,joy,next,sadness,0,0.0
Joey,joy,prev,joy,6,0.6666666666666666
Joey,joy,next,joy,6,0.75
Joey,joy,prev,disgust,0,0.0
Joey,joy,next,disgust,0,0.0
Joey,joy,prev,anger,0,0.0
Joey,joy,next,anger,1,0.125
Joey,disgust,prev,neutral,0,0.0
Joey,disgust,next,neutral,0,0.0
Joey,disgust,prev,surprise,0,0.0
Joey,disgust,next,surprise,0,0.0
Joey,disgust,prev,fear,0,0.0
Joey,disgust,next,fear,0,0.0
Joey,disgust,prev,sadness,0,0.0
Joey,disgust,next,sadness,0,0.0
Joey,disgust,prev,joy,0,0.0
Joey,disgust,next,joy,0,0.0
Joey,disgust,prev,disgust,0,0.0
Joey,disgust,next,disgust,0,0.0
Joey,disgust,prev,anger,1,1.0
Joey,disgust,next,anger,2,1.0
Joey,anger,prev,neutral,0,0.0
Joey,anger,next,neutral,2,0.25
Joey,anger,prev,surprise,1,0.3333333333333333
Joey,anger,next,surprise,0,0.0
Joey,anger,prev,fear,0,0.0
Joey,anger,next,fear,0,0.0
Joey,anger,prev,sadness,0,0.0
